"lambda","phi","eta","start","end","type"
3,0.1,0.6,12801,12801,"conserved"
3,0.1,0.6,12803,12803,"conserved"
3,0.1,0.6,12805,12805,"conserved"
3,0.1,0.6,12807,12807,"conserved"
3,0.1,0.6,12809,12809,"conserved"
3,0.1,0.6,12811,12811,"conserved"
3,0.1,0.6,12813,12813,"conserved"
3,0.1,0.6,12815,12815,"conserved"
3,0.1,0.6,12817,12817,"conserved"
3,0.1,0.6,12819,12819,"conserved"
3,0.1,0.6,12821,12821,"conserved"
3,0.1,0.6,12823,12823,"conserved"
3,0.1,0.6,12825,12825,"conserved"
3,0.1,0.6,12827,12827,"conserved"
3,0.1,0.6,12829,12829,"conserved"
3,0.1,0.6,12831,12831,"conserved"
3,0.1,0.6,12833,12833,"conserved"
3,0.1,0.6,12835,12835,"conserved"
3,0.1,0.6,12837,12837,"conserved"
3,0.1,0.6,12839,12839,"conserved"
3,0.1,0.6,12841,12841,"conserved"
3,0.1,0.6,12843,12843,"conserved"
3,0.1,0.6,12845,12845,"conserved"
3,0.1,0.6,12847,12847,"conserved"
3,0.1,0.6,12849,12849,"conserved"
3,0.1,0.6,12851,12851,"conserved"
3,0.1,0.6,12853,12853,"conserved"
3,0.1,0.6,12855,12855,"conserved"
3,0.1,0.6,12857,12857,"conserved"
3,0.1,0.6,12859,12859,"conserved"
3,0.1,0.6,12861,12861,"conserved"
3,0.1,0.6,12863,12863,"conserved"
3,0.1,0.6,12865,12865,"conserved"
3,0.1,0.6,12867,12867,"conserved"
3,0.1,0.6,12869,12869,"conserved"
3,0.1,0.6,12871,12871,"conserved"
3,0.1,0.6,12873,12873,"conserved"
3,0.1,0.6,12875,12875,"conserved"
3,0.1,0.6,12877,12877,"conserved"
3,0.1,0.6,12879,12879,"conserved"
3,0.1,0.6,12881,12881,"conserved"
3,0.1,0.6,12883,12883,"conserved"
3,0.1,0.6,12885,12885,"conserved"
3,0.1,0.6,12887,12887,"conserved"
3,0.1,0.6,12889,12889,"conserved"
3,0.1,0.6,12891,12891,"conserved"
3,0.1,0.6,12893,12893,"conserved"
3,0.1,0.6,12895,12895,"conserved"
3,0.1,0.6,12897,12897,"conserved"
3,0.1,0.6,12899,12899,"conserved"
3,0.1,0.6,12901,12901,"conserved"
3,0.1,0.6,12903,12903,"conserved"
3,0.1,0.6,12905,12905,"conserved"
3,0.1,0.6,12907,12907,"conserved"
3,0.1,0.6,12909,12909,"conserved"
3,0.1,0.6,12911,12911,"conserved"
3,0.1,0.6,12913,12913,"conserved"
3,0.1,0.6,12915,12915,"conserved"
3,0.1,0.6,12917,12917,"conserved"
3,0.1,0.6,12919,12919,"conserved"
3,0.1,0.6,12921,12921,"conserved"
3,0.1,0.6,12923,12923,"conserved"
3,0.1,0.6,12925,12925,"conserved"
3,0.1,0.6,12927,12927,"conserved"
3,0.1,0.6,12929,12929,"conserved"
3,0.1,0.6,12931,12931,"conserved"
3,0.1,0.6,12933,12933,"conserved"
3,0.1,0.6,12935,12935,"conserved"
3,0.1,0.6,12937,12937,"conserved"
3,0.1,0.6,12939,12939,"conserved"
3,0.1,0.6,12941,12941,"conserved"
3,0.1,0.6,12943,12943,"conserved"
3,0.1,0.6,12945,12945,"conserved"
3,0.1,0.6,12947,12947,"conserved"
3,0.1,0.6,12949,12949,"conserved"
3,0.1,0.6,12951,12951,"conserved"
3,0.1,0.6,12953,12953,"conserved"
3,0.1,0.6,12955,12955,"conserved"
3,0.1,0.6,12957,12957,"conserved"
3,0.1,0.6,12959,12959,"conserved"
3,0.1,0.6,12961,12961,"conserved"
3,0.1,0.6,12963,12963,"conserved"
3,0.1,0.6,12965,12965,"conserved"
3,0.1,0.6,12967,12967,"conserved"
3,0.1,0.6,12969,12969,"conserved"
3,0.1,0.6,12971,12971,"conserved"
3,0.1,0.6,12973,12973,"conserved"
3,0.1,0.6,12975,12975,"conserved"
3,0.1,0.6,12977,12977,"conserved"
3,0.1,0.6,12979,12979,"conserved"
3,0.1,0.6,12981,12981,"conserved"
3,0.1,0.6,12983,12983,"conserved"
3,0.1,0.6,12985,12985,"conserved"
3,0.1,0.6,12987,12987,"conserved"
3,0.1,0.6,12989,12989,"conserved"
3,0.1,0.6,12991,12991,"conserved"
3,0.1,0.6,12993,12993,"conserved"
3,0.1,0.6,12995,12995,"conserved"
3,0.1,0.6,12997,12997,"conserved"
3,0.1,0.6,12999,12999,"conserved"
3,0.1,0.6,13001,13001,"conserved"
3,0.1,0.6,13003,13003,"conserved"
3,0.1,0.6,13005,13005,"conserved"
3,0.1,0.6,13007,13007,"conserved"
3,0.1,0.6,13009,13009,"conserved"
3,0.1,0.6,13011,13011,"conserved"
3,0.1,0.6,13013,13013,"conserved"
3,0.1,0.6,13015,13015,"conserved"
3,0.1,0.6,13017,13017,"conserved"
3,0.1,0.6,13019,13019,"conserved"
3,0.1,0.6,13021,13021,"conserved"
3,0.1,0.6,13023,13023,"conserved"
3,0.1,0.6,13025,13025,"conserved"
3,0.1,0.6,13027,13027,"conserved"
3,0.1,0.6,13029,13029,"conserved"
3,0.1,0.6,13031,13031,"conserved"
3,0.1,0.6,13033,13033,"conserved"
3,0.1,0.6,13035,13035,"conserved"
3,0.1,0.6,13037,13037,"conserved"
3,0.1,0.6,13039,13039,"conserved"
3,0.1,0.6,13041,13041,"conserved"
3,0.1,0.6,13043,13043,"conserved"
3,0.1,0.6,13045,13045,"conserved"
3,0.1,0.6,13047,13047,"conserved"
3,0.1,0.6,13049,13049,"conserved"
3,0.1,0.6,13051,13051,"conserved"
3,0.1,0.6,13053,13053,"conserved"
3,0.1,0.6,13055,13055,"conserved"
3,0.1,0.6,13057,13057,"conserved"
3,0.1,0.6,13059,13059,"conserved"
3,0.1,0.6,13061,13061,"conserved"
3,0.1,0.6,13063,13063,"conserved"
3,0.1,0.6,13065,13065,"conserved"
3,0.1,0.6,13067,13067,"conserved"
3,0.1,0.6,13069,13069,"conserved"
3,0.1,0.6,13071,13071,"conserved"
3,0.1,0.6,13073,13073,"conserved"
3,0.1,0.6,13075,13075,"conserved"
3,0.1,0.6,13077,13077,"conserved"
3,0.1,0.6,13079,13079,"conserved"
3,0.1,0.6,13081,13081,"conserved"
3,0.1,0.6,13083,13083,"conserved"
3,0.1,0.6,13085,13085,"conserved"
3,0.1,0.6,13087,13087,"conserved"
3,0.1,0.6,13089,13089,"conserved"
3,0.1,0.6,13091,13091,"conserved"
3,0.1,0.6,13093,13093,"conserved"
3,0.1,0.6,13095,13095,"conserved"
3,0.1,0.6,13097,13097,"conserved"
3,0.1,0.6,13099,13099,"conserved"
3,0.1,0.6,13101,13101,"conserved"
3,0.1,0.6,13103,13103,"conserved"
3,0.1,0.6,13105,13105,"conserved"
3,0.1,0.6,13107,13107,"conserved"
3,0.1,0.6,13109,13109,"conserved"
3,0.1,0.6,13111,13111,"conserved"
3,0.1,0.6,13113,13113,"conserved"
3,0.1,0.6,13115,13115,"conserved"
3,0.1,0.6,13117,13117,"conserved"
3,0.1,0.6,13119,13119,"conserved"
3,0.1,0.6,13121,13121,"conserved"
3,0.1,0.6,13123,13123,"conserved"
3,0.1,0.6,13125,13125,"conserved"
3,0.1,0.6,13127,13127,"conserved"
3,0.1,0.6,13129,13129,"conserved"
3,0.1,0.6,13131,13131,"conserved"
3,0.1,0.6,13133,13133,"conserved"
3,0.1,0.6,13135,13135,"conserved"
3,0.1,0.6,13137,13137,"conserved"
3,0.1,0.6,13139,13139,"conserved"
3,0.1,0.6,13141,13141,"conserved"
3,0.1,0.6,13143,13143,"conserved"
3,0.1,0.6,13145,13145,"conserved"
3,0.1,0.6,13147,13147,"conserved"
3,0.1,0.6,13149,13149,"conserved"
3,0.1,0.6,13151,13151,"conserved"
3,0.1,0.6,13153,13153,"conserved"
3,0.1,0.6,13155,13155,"conserved"
3,0.1,0.6,13157,13157,"conserved"
3,0.1,0.6,13159,13159,"conserved"
3,0.1,0.6,13161,13161,"conserved"
3,0.1,0.6,13163,13163,"conserved"
3,0.1,0.6,13165,13165,"conserved"
3,0.1,0.6,13167,13167,"conserved"
3,0.1,0.6,13169,13169,"conserved"
3,0.1,0.6,13171,13171,"conserved"
3,0.1,0.6,13173,13173,"conserved"
3,0.1,0.6,13175,13175,"conserved"
3,0.1,0.6,13177,13177,"conserved"
3,0.1,0.6,13179,13179,"conserved"
3,0.1,0.6,13181,13181,"conserved"
3,0.1,0.6,13183,13183,"conserved"
3,0.1,0.6,13185,13185,"conserved"
3,0.1,0.6,13187,13187,"conserved"
3,0.1,0.6,13189,13189,"conserved"
3,0.1,0.6,13191,13191,"conserved"
3,0.1,0.6,13193,13193,"conserved"
3,0.1,0.6,13195,13195,"conserved"
3,0.1,0.6,13197,13197,"conserved"
3,0.1,0.6,13199,13199,"conserved"
3,0.1,0.6,13201,13201,"conserved"
3,0.1,0.6,13203,13203,"conserved"
3,0.1,0.6,13205,13205,"conserved"
3,0.1,0.6,13207,13207,"conserved"
3,0.1,0.6,13209,13209,"conserved"
3,0.1,0.6,13211,13211,"conserved"
3,0.1,0.6,13213,13213,"conserved"
3,0.1,0.6,13215,13215,"conserved"
3,0.1,0.6,13217,13217,"conserved"
3,0.1,0.6,13219,13219,"conserved"
3,0.1,0.6,13221,13221,"conserved"
3,0.1,0.6,13223,13223,"conserved"
3,0.1,0.6,13225,13225,"conserved"
3,0.1,0.6,13227,13227,"conserved"
3,0.1,0.6,13229,13229,"conserved"
3,0.1,0.6,13231,13231,"conserved"
3,0.1,0.6,13233,13233,"conserved"
3,0.1,0.6,13235,13235,"conserved"
3,0.1,0.6,13237,13237,"conserved"
3,0.1,0.6,13239,13239,"conserved"
3,0.1,0.6,13241,13241,"conserved"
3,0.1,0.6,13243,13243,"conserved"
3,0.1,0.6,13245,13245,"conserved"
3,0.1,0.6,13247,13247,"conserved"
3,0.1,0.6,13249,13249,"conserved"
3,0.1,0.6,13251,13251,"conserved"
3,0.1,0.6,13253,13253,"conserved"
3,0.1,0.6,13255,13255,"conserved"
3,0.1,0.6,13257,13257,"conserved"
3,0.1,0.6,13259,13259,"conserved"
3,0.1,0.6,13261,13261,"conserved"
3,0.1,0.6,13263,13263,"conserved"
3,0.1,0.6,13265,13265,"conserved"
3,0.1,0.6,13267,13267,"conserved"
3,0.1,0.6,13269,13269,"conserved"
3,0.1,0.6,13271,13271,"conserved"
3,0.1,0.6,13273,13273,"conserved"
3,0.1,0.6,13275,13275,"conserved"
3,0.1,0.6,13277,13277,"conserved"
3,0.1,0.6,13279,13279,"conserved"
3,0.1,0.6,13281,13281,"conserved"
3,0.1,0.6,13283,13283,"conserved"
3,0.1,0.6,13285,13285,"conserved"
3,0.1,0.6,13287,13287,"conserved"
3,0.1,0.6,13289,13289,"conserved"
3,0.1,0.6,13291,13291,"conserved"
3,0.1,0.6,13293,13293,"conserved"
3,0.1,0.6,13295,13295,"conserved"
3,0.1,0.6,13297,13297,"conserved"
3,0.1,0.6,13299,13299,"conserved"
3,0.1,0.6,13301,13301,"conserved"
3,0.1,0.6,13303,13303,"conserved"
3,0.1,0.6,13305,13305,"conserved"
3,0.1,0.6,13307,13307,"conserved"
3,0.1,0.6,13309,13309,"conserved"
3,0.1,0.6,13311,13311,"conserved"
3,0.1,0.6,13313,13313,"conserved"
3,0.1,0.6,13315,13315,"conserved"
3,0.1,0.6,13317,13317,"conserved"
3,0.1,0.6,13319,13319,"conserved"
3,0.1,0.6,13321,13321,"conserved"
3,0.1,0.6,13323,13323,"conserved"
3,0.1,0.6,13325,13325,"conserved"
3,0.1,0.6,13327,13327,"conserved"
3,0.1,0.6,13329,13329,"conserved"
3,0.1,0.6,13331,13331,"conserved"
3,0.1,0.6,13333,13333,"conserved"
3,0.1,0.6,13335,13335,"conserved"
3,0.1,0.6,13337,13337,"conserved"
3,0.1,0.6,13339,13339,"conserved"
3,0.1,0.6,13341,13341,"conserved"
3,0.1,0.6,13343,13343,"conserved"
3,0.1,0.6,13345,13345,"conserved"
3,0.1,0.6,13347,13347,"conserved"
3,0.1,0.6,13349,13349,"conserved"
3,0.1,0.6,13351,13351,"conserved"
3,0.1,0.6,13353,13353,"conserved"
3,0.1,0.6,13355,13355,"conserved"
3,0.1,0.6,13357,13357,"conserved"
3,0.1,0.6,13359,13359,"conserved"
3,0.1,0.6,13361,13361,"conserved"
3,0.1,0.6,13363,13363,"conserved"
3,0.1,0.6,13365,13365,"conserved"
3,0.1,0.6,13367,13367,"conserved"
3,0.1,0.6,13369,13369,"conserved"
3,0.1,0.6,13371,13371,"conserved"
3,0.1,0.6,13373,13373,"conserved"
3,0.1,0.6,13375,13375,"conserved"
3,0.1,0.6,13377,13377,"conserved"
3,0.1,0.6,13379,13379,"conserved"
3,0.1,0.6,13381,13381,"conserved"
3,0.1,0.6,13383,13383,"conserved"
3,0.1,0.6,13385,13385,"conserved"
3,0.1,0.6,13387,13387,"conserved"
3,0.1,0.6,13389,13389,"conserved"
3,0.1,0.6,13391,13391,"conserved"
3,0.1,0.6,13393,13393,"conserved"
3,0.1,0.6,13395,13395,"conserved"
3,0.1,0.6,13397,13397,"conserved"
3,0.1,0.6,13399,13399,"conserved"
3,0.1,0.6,13401,13401,"conserved"
3,0.1,0.6,13403,13403,"conserved"
3,0.1,0.6,13405,13405,"conserved"
3,0.1,0.6,13407,13407,"conserved"
3,0.1,0.6,13409,13409,"conserved"
3,0.1,0.6,13411,13411,"conserved"
3,0.1,0.6,13413,13413,"conserved"
3,0.1,0.6,13415,13415,"conserved"
3,0.1,0.6,13417,13417,"conserved"
3,0.1,0.6,13419,13419,"conserved"
3,0.1,0.6,13421,13421,"conserved"
3,0.1,0.6,13423,13423,"conserved"
3,0.1,0.6,13425,13425,"conserved"
3,0.1,0.6,13427,13427,"conserved"
3,0.1,0.6,13429,13429,"conserved"
3,0.1,0.6,13431,13431,"conserved"
3,0.1,0.6,13433,13433,"conserved"
3,0.1,0.6,13435,13435,"conserved"
3,0.1,0.6,13437,13437,"conserved"
3,0.1,0.6,13439,13439,"conserved"
3,0.1,0.6,13441,13441,"conserved"
3,0.1,0.6,13443,13443,"conserved"
3,0.1,0.6,13445,13445,"conserved"
3,0.1,0.6,13447,13447,"conserved"
3,0.1,0.6,13449,13449,"conserved"
3,0.1,0.6,13451,13451,"conserved"
3,0.1,0.6,13453,13453,"conserved"
3,0.1,0.6,13455,13455,"conserved"
3,0.1,0.6,13457,13457,"conserved"
3,0.1,0.6,13459,13459,"conserved"
3,0.1,0.6,13461,13461,"conserved"
3,0.1,0.6,13463,13463,"conserved"
3,0.1,0.6,13465,13465,"conserved"
3,0.1,0.6,13467,13467,"conserved"
3,0.1,0.6,13469,13469,"conserved"
3,0.1,0.6,13471,13471,"conserved"
3,0.1,0.6,13473,13473,"conserved"
3,0.1,0.6,13475,13475,"conserved"
3,0.1,0.6,13477,13477,"conserved"
3,0.1,0.6,13479,13479,"conserved"
3,0.1,0.6,13481,13481,"conserved"
3,0.1,0.6,13483,13483,"conserved"
3,0.1,0.6,13485,13485,"conserved"
3,0.1,0.6,13487,13487,"conserved"
3,0.1,0.6,13489,13489,"conserved"
3,0.1,0.6,13491,13491,"conserved"
3,0.1,0.6,13493,13493,"conserved"
3,0.1,0.6,13495,13495,"conserved"
3,0.1,0.6,13497,13497,"conserved"
3,0.1,0.6,13499,13499,"conserved"
3,0.1,0.6,13501,13501,"conserved"
3,0.1,0.6,13503,13503,"conserved"
3,0.1,0.6,13505,13505,"conserved"
3,0.1,0.6,13507,13507,"conserved"
3,0.1,0.6,13509,13509,"conserved"
3,0.1,0.6,13511,13511,"conserved"
3,0.1,0.6,13513,13513,"conserved"
3,0.1,0.6,13515,13515,"conserved"
3,0.1,0.6,13517,13517,"conserved"
3,0.1,0.6,13519,13519,"conserved"
3,0.1,0.6,13521,13521,"conserved"
3,0.1,0.6,13523,13523,"conserved"
3,0.1,0.6,13525,13525,"conserved"
3,0.1,0.6,13527,13527,"conserved"
3,0.1,0.6,13529,13529,"conserved"
3,0.1,0.6,13531,13531,"conserved"
3,0.1,0.6,13533,13533,"conserved"
3,0.1,0.6,13535,13535,"conserved"
3,0.1,0.6,13537,13537,"conserved"
3,0.1,0.6,13539,13539,"conserved"
3,0.1,0.6,13541,13541,"conserved"
3,0.1,0.6,13543,13543,"conserved"
3,0.1,0.6,13545,13545,"conserved"
3,0.1,0.6,13547,13547,"conserved"
3,0.1,0.6,13549,13549,"conserved"
3,0.1,0.6,13551,13551,"conserved"
3,0.1,0.6,13553,13553,"conserved"
3,0.1,0.6,13555,13555,"conserved"
3,0.1,0.6,13557,13557,"conserved"
3,0.1,0.6,13559,13559,"conserved"
3,0.1,0.6,13561,13561,"conserved"
3,0.1,0.6,13563,13563,"conserved"
3,0.1,0.6,13565,13565,"conserved"
3,0.1,0.6,13567,13567,"conserved"
3,0.1,0.6,13569,13569,"conserved"
3,0.1,0.6,13571,13571,"conserved"
3,0.1,0.6,13573,13573,"conserved"
3,0.1,0.6,13575,13575,"conserved"
3,0.1,0.6,13577,13577,"conserved"
3,0.1,0.6,13579,13579,"conserved"
3,0.1,0.6,13581,13581,"conserved"
3,0.1,0.6,13583,13583,"conserved"
3,0.1,0.6,13585,13585,"conserved"
3,0.1,0.6,13587,13587,"conserved"
3,0.1,0.6,13589,13589,"conserved"
3,0.1,0.6,13591,13591,"conserved"
3,0.1,0.6,13593,13593,"conserved"
3,0.1,0.6,13595,13595,"conserved"
3,0.1,0.6,13597,13597,"conserved"
3,0.1,0.6,13599,13599,"conserved"
3,0.1,0.6,13601,13601,"conserved"
3,0.1,0.6,13603,13603,"conserved"
3,0.1,0.6,13605,13605,"conserved"
3,0.1,0.6,13607,13607,"conserved"
3,0.1,0.6,13609,13609,"conserved"
3,0.1,0.6,13611,13611,"conserved"
3,0.1,0.6,13613,13613,"conserved"
3,0.1,0.6,13615,13615,"conserved"
3,0.1,0.6,13617,13617,"conserved"
3,0.1,0.6,13619,13619,"conserved"
3,0.1,0.6,13621,13621,"conserved"
3,0.1,0.6,13623,13623,"conserved"
3,0.1,0.6,13625,13625,"conserved"
3,0.1,0.6,13627,13627,"conserved"
3,0.1,0.6,13629,13629,"conserved"
3,0.1,0.6,13631,13631,"conserved"
3,0.1,0.6,13633,13633,"conserved"
3,0.1,0.6,13635,13635,"conserved"
3,0.1,0.6,13637,13637,"conserved"
3,0.1,0.6,13639,13639,"conserved"
3,0.1,0.6,13641,13641,"conserved"
3,0.1,0.6,13643,13643,"conserved"
3,0.1,0.6,13645,13645,"conserved"
3,0.1,0.6,13647,13647,"conserved"
3,0.1,0.6,13649,13649,"conserved"
3,0.1,0.6,13651,13651,"conserved"
3,0.1,0.6,13653,13653,"conserved"
3,0.1,0.6,13655,13655,"conserved"
3,0.1,0.6,13657,13657,"conserved"
3,0.1,0.6,13659,13659,"conserved"
3,0.1,0.6,13661,13661,"conserved"
3,0.1,0.6,13663,13663,"conserved"
3,0.1,0.6,13665,13665,"conserved"
3,0.1,0.6,13667,13667,"conserved"
3,0.1,0.6,13669,13669,"conserved"
3,0.1,0.6,13671,13671,"conserved"
3,0.1,0.6,13673,13673,"conserved"
3,0.1,0.6,13675,13675,"conserved"
3,0.1,0.6,13677,13677,"conserved"
3,0.1,0.6,13679,13679,"conserved"
3,0.1,0.6,13681,13681,"conserved"
3,0.1,0.6,13683,13683,"conserved"
3,0.1,0.6,13685,13685,"conserved"
3,0.1,0.6,13687,13687,"conserved"
3,0.1,0.6,13689,13689,"conserved"
3,0.1,0.6,13691,13691,"conserved"
3,0.1,0.6,13693,13693,"conserved"
3,0.1,0.6,13695,13695,"conserved"
3,0.1,0.6,13697,13697,"conserved"
3,0.1,0.6,13699,13699,"conserved"
3,0.1,0.6,13701,13701,"conserved"
3,0.1,0.6,13703,13703,"conserved"
3,0.1,0.6,13705,13705,"conserved"
3,0.1,0.6,13707,13707,"conserved"
3,0.1,0.6,13709,13709,"conserved"
3,0.1,0.6,13711,13711,"conserved"
3,0.1,0.6,13713,13713,"conserved"
3,0.1,0.6,13715,13715,"conserved"
3,0.1,0.6,13717,13717,"conserved"
3,0.1,0.6,13719,13719,"conserved"
3,0.1,0.6,13721,13721,"conserved"
3,0.1,0.6,13723,13723,"conserved"
3,0.1,0.6,13725,13725,"conserved"
3,0.1,0.6,13727,13727,"conserved"
3,0.1,0.6,13729,13729,"conserved"
3,0.1,0.6,13731,13731,"conserved"
3,0.1,0.6,13733,13733,"conserved"
3,0.1,0.6,13735,13735,"conserved"
3,0.1,0.6,13737,13737,"conserved"
3,0.1,0.6,13739,13739,"conserved"
3,0.1,0.6,13741,13741,"conserved"
3,0.1,0.6,13743,13743,"conserved"
3,0.1,0.6,13745,13745,"conserved"
3,0.1,0.6,13747,13747,"conserved"
3,0.1,0.6,13749,13749,"conserved"
3,0.1,0.6,13751,13751,"conserved"
3,0.1,0.6,13753,13753,"conserved"
3,0.1,0.6,13755,13755,"conserved"
3,0.1,0.6,13757,13757,"conserved"
3,0.1,0.6,13759,13759,"conserved"
3,0.1,0.6,13761,13761,"conserved"
3,0.1,0.6,13763,13763,"conserved"
3,0.1,0.6,13765,13765,"conserved"
3,0.1,0.6,13767,13767,"conserved"
3,0.1,0.6,13769,13769,"conserved"
3,0.1,0.6,13771,13771,"conserved"
3,0.1,0.6,13773,13773,"conserved"
3,0.1,0.6,13775,13775,"conserved"
3,0.1,0.6,13777,13777,"conserved"
3,0.1,0.6,13779,13779,"conserved"
3,0.1,0.6,13781,13781,"conserved"
3,0.1,0.6,13783,13783,"conserved"
3,0.1,0.6,13785,13785,"conserved"
3,0.1,0.6,13787,13787,"conserved"
3,0.1,0.6,13789,13789,"conserved"
3,0.1,0.6,13791,13791,"conserved"
3,0.1,0.6,13793,13793,"conserved"
3,0.1,0.6,13795,13795,"conserved"
3,0.1,0.6,13797,13797,"conserved"
3,0.1,0.6,13799,13799,"conserved"
3,0.1,0.6,13801,13801,"conserved"
3,0.1,0.6,13803,13803,"conserved"
3,0.1,0.6,13805,13805,"conserved"
3,0.1,0.6,13807,13807,"conserved"
3,0.1,0.6,13809,13809,"conserved"
3,0.1,0.6,13811,13811,"conserved"
3,0.1,0.6,13813,13813,"conserved"
3,0.1,0.6,13815,13815,"conserved"
3,0.1,0.6,13817,13817,"conserved"
3,0.1,0.6,13819,13819,"conserved"
3,0.1,0.6,13821,13821,"conserved"
3,0.1,0.6,13823,13823,"conserved"
3,0.1,0.6,13825,13825,"conserved"
3,0.1,0.6,13827,13827,"conserved"
3,0.1,0.6,13829,13829,"conserved"
3,0.1,0.6,13831,13831,"conserved"
3,0.1,0.6,13833,13833,"conserved"
3,0.1,0.6,13835,13835,"conserved"
3,0.1,0.6,13837,13837,"conserved"
3,0.1,0.6,13839,13839,"conserved"
3,0.1,0.6,13841,13841,"conserved"
3,0.1,0.6,13843,13843,"conserved"
3,0.1,0.6,13845,13845,"conserved"
3,0.1,0.6,13847,13847,"conserved"
3,0.1,0.6,13849,13849,"conserved"
3,0.1,0.6,13851,13851,"conserved"
3,0.1,0.6,13853,13853,"conserved"
3,0.1,0.6,13855,13855,"conserved"
3,0.1,0.6,13857,13857,"conserved"
3,0.1,0.6,13859,13859,"conserved"
3,0.1,0.6,13861,13861,"conserved"
3,0.1,0.6,13863,13863,"conserved"
3,0.1,0.6,13865,13865,"conserved"
3,0.1,0.6,13867,13867,"conserved"
3,0.1,0.6,13869,13869,"conserved"
3,0.1,0.6,13871,13871,"conserved"
3,0.1,0.6,13873,13873,"conserved"
3,0.1,0.6,13875,13875,"conserved"
3,0.1,0.6,13877,13877,"conserved"
3,0.1,0.6,13879,13879,"conserved"
3,0.1,0.6,13881,13881,"conserved"
3,0.1,0.6,13883,13883,"conserved"
3,0.1,0.6,13885,13885,"conserved"
3,0.1,0.6,13887,13887,"conserved"
3,0.1,0.6,13889,13889,"conserved"
3,0.1,0.6,13891,13891,"conserved"
3,0.1,0.6,13893,13893,"conserved"
3,0.1,0.6,13895,13895,"conserved"
3,0.1,0.6,13897,13897,"conserved"
3,0.1,0.6,13899,13899,"conserved"
3,0.1,0.6,13901,13901,"conserved"
3,0.1,0.6,13903,13903,"conserved"
3,0.1,0.6,13905,13905,"conserved"
3,0.1,0.6,13907,13907,"conserved"
3,0.1,0.6,13909,13909,"conserved"
3,0.1,0.6,13911,13911,"conserved"
3,0.1,0.6,13913,13913,"conserved"
3,0.1,0.6,13915,13915,"conserved"
3,0.1,0.6,13917,13917,"conserved"
3,0.1,0.6,13919,13919,"conserved"
3,0.1,0.6,13921,13921,"conserved"
3,0.1,0.6,13923,13923,"conserved"
3,0.1,0.6,13925,13925,"conserved"
3,0.1,0.6,13927,13927,"conserved"
3,0.1,0.6,13929,13929,"conserved"
3,0.1,0.6,13931,13931,"conserved"
3,0.1,0.6,13933,13933,"conserved"
3,0.1,0.6,13935,13935,"conserved"
3,0.1,0.6,13937,13937,"conserved"
3,0.1,0.6,13939,13939,"conserved"
3,0.1,0.6,13941,13941,"conserved"
3,0.1,0.6,13943,13943,"conserved"
3,0.1,0.6,13945,13945,"conserved"
3,0.1,0.6,13947,13947,"conserved"
3,0.1,0.6,13949,13949,"conserved"
3,0.1,0.6,13951,13951,"conserved"
3,0.1,0.6,13953,13953,"conserved"
3,0.1,0.6,13955,13955,"conserved"
3,0.1,0.6,13957,13957,"conserved"
3,0.1,0.6,13959,13959,"conserved"
3,0.1,0.6,13961,13961,"conserved"
3,0.1,0.6,13963,13963,"conserved"
3,0.1,0.6,13965,13965,"conserved"
3,0.1,0.6,13967,13967,"conserved"
3,0.1,0.6,13969,13969,"conserved"
3,0.1,0.6,13971,13971,"conserved"
3,0.1,0.6,13973,13973,"conserved"
3,0.1,0.6,13975,13975,"conserved"
3,0.1,0.6,13977,13977,"conserved"
3,0.1,0.6,13979,13979,"conserved"
3,0.1,0.6,13981,13981,"conserved"
3,0.1,0.6,13983,13983,"conserved"
3,0.1,0.6,13985,13985,"conserved"
3,0.1,0.6,13987,13987,"conserved"
3,0.1,0.6,13989,13989,"conserved"
3,0.1,0.6,13991,13991,"conserved"
3,0.1,0.6,13993,13993,"conserved"
3,0.1,0.6,13995,13995,"conserved"
3,0.1,0.6,13997,13997,"conserved"
3,0.1,0.6,13999,13999,"conserved"
3,0.1,0.6,14001,14001,"conserved"
3,0.1,0.6,14003,14003,"conserved"
3,0.1,0.6,14005,14005,"conserved"
3,0.1,0.6,14007,14007,"conserved"
3,0.1,0.6,14009,14009,"conserved"
3,0.1,0.6,14011,14011,"conserved"
3,0.1,0.6,14013,14013,"conserved"
3,0.1,0.6,14015,14015,"conserved"
3,0.1,0.6,14017,14017,"conserved"
3,0.1,0.6,14019,14019,"conserved"
3,0.1,0.6,14021,14021,"conserved"
3,0.1,0.6,14023,14023,"conserved"
3,0.1,0.6,14025,14025,"conserved"
3,0.1,0.6,14027,14027,"conserved"
3,0.1,0.6,14029,14029,"conserved"
3,0.1,0.6,14031,14031,"conserved"
3,0.1,0.6,14033,14033,"conserved"
3,0.1,0.6,14035,14035,"conserved"
3,0.1,0.6,14037,14037,"conserved"
3,0.1,0.6,14039,14039,"conserved"
3,0.1,0.6,14041,14041,"conserved"
3,0.1,0.6,14043,14043,"conserved"
3,0.1,0.6,14045,14045,"conserved"
3,0.1,0.6,14047,14047,"conserved"
3,0.1,0.6,14049,14049,"conserved"
3,0.1,0.6,14051,14051,"conserved"
3,0.1,0.6,14053,14053,"conserved"
3,0.1,0.6,14055,14055,"conserved"
3,0.1,0.6,14057,14057,"conserved"
3,0.1,0.6,14059,14059,"conserved"
3,0.1,0.6,14061,14061,"conserved"
3,0.1,0.6,14063,14063,"conserved"
3,0.1,0.6,14065,14065,"conserved"
3,0.1,0.6,14067,14067,"conserved"
3,0.1,0.6,14069,14069,"conserved"
